,seed_id
C01563_c,cpd01101
C01573_c,cpd11893
C01573_n,cpd11893
C01977_c,cpd11985
C01978_c,cpd11986
C02031_n,cpd12001
C02100_n,cpd12022
C02170_c,cpd01468
C02339_n,cpd12082
C02356_c,cpd01573
C02415_n,cpd12101
C02470_n,cpd01625
C02723_c,cpd01766
C02745_a,cpd12173
C02763_c,cpd01784
C02869_a,cpd12207
C02872_c,cpd11953
C03205_r,cpd02047
C03492_c,cpd02201
C03681_r,cpd02312
C03702_n,cpd12372
C04079_c,cpd02524
C04146_c,cpd02557
C04352_c,cpd02666
C04392_c,cpd02686
C04441_n,cpd02710
C04895_c,cpd02978
C05141_a,cpd03061
C05141_r,cpd03061
C05198_n,cpd03091
C05284_a,cpd03135
C05284_r,cpd03135
C05300_a,cpd03145
C05300_r,cpd03145
C05350_c,cpd03174
C05385_c,cpd03191
C05629_m,cpd03343
C05659_n,cpd03370
C05691_n,cpd03392
C05692_n,cpd03393
C05693_n,cpd12749
C05694_n,cpd12750
C05764_r,cpd11476
